Provincia,Elección,Izquierda,Derecha,Diferencia
Granada,2004,61.8,38.0,23.799999999999997
Huelva,2004,68.56,31.26,37.3
Jaén,2004,65.12,34.75,30.370000000000005
Málaga,2004,62.24,37.53,24.71
Sevilla,2004,70.94,28.75,42.19
Almería,2008,46.35,53.09,-6.740000000000002
Cádiz,2008,60.48,38.9,21.58
Córdoba,2008,61.28,38.33,22.950000000000003
Granada,2008,57.82,41.72,16.1
Huelva,2008,63.81,35.64,28.17
Jaén,2008,62.6,36.99,25.61
Málaga,2008,55.71,43.81,11.899999999999999
Sevilla,2008,67.64,32.06,35.58
Almería,2011,41.52,58.41,-16.889999999999993
Cádiz,2011,51.61,47.72,3.8900000000000006
Córdoba,2011,54.22,45.35,8.869999999999997
Granada,2011,52.51,47.23,5.280000000000001
Huelva,2011,55.09,44.57,10.520000000000003
Jaén,2011,52.76,45.91,6.850000000000001
Málaga,2011,49.3,50.24,-0.9400000000000048
Sevilla,2011,60.4,39.29,21.11
Almería,2015,43.45,53.03,-9.579999999999998
Cádiz,2015,50.75,43.1,7.649999999999999
Córdoba,2015,48.9,42.84,6.059999999999995
Granada,2015,54.47,45.54,8.93
Huelva,2015,54.2,41.21,12.990000000000002
Jaén,2015,52.68,42.96,9.719999999999999
Málaga,2015,46.52,46.6,-0.0799999999999983
Sevilla,2015,55.28,38.9,16.380000000000003
Almería,2016,42.57,57.3,-14.729999999999997
Cádiz,2016,52.54,47.42,5.119999999999997
Córdoba,2016,52.39,47.48,4.910000000000004
Granada,2016,50.69,49.31,1.3799999999999955
Huelva,2016,54.35,45.64,8.71
Jaén,2016,53.4,46.6,6.799999999999997
Málaga,2016,48.67,51.32,-2.6499999999999986
Sevilla,2016,56.91,43.08,13.829999999999998
Almería,2019,40.27,58.82,-18.549999999999997
Cádiz,2019,51.06,47.71,3.3500000000000014
Córdoba,2019,51.07,47.75,3.3200000000000003
Granada,2019,49.21,49.92,-0.7100000000000009
Huelva,2019,52.1,46.8,5.300000000000004
Jaén,2019,51.42,47.91,3.510000000000005
Málaga,2019,47.9,51.21,-3.3100000000000023
Sevilla,2019,55.58,43.41,12.170000000000002
Almería,201911,39.1,60.71,-21.61
Cádiz,201911,50.89,49.11,1.7800000000000011
Córdoba,201911,50.0,49.83,0.1700000000000017
Granada,201911,49.25,50.76,-1.509999999999998
Huelva,201911,51.29,48.72,2.5700000000000003
Jaén,201911,50.54,49.46,1.0799999999999983
Málaga,201911,47.49,52.51,-5.019999999999996
Sevilla,201911,55.71,44.29,11.420000000000002
